,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Muros,ES,42.7762,-9.0603,55.09,83,72,20.83,broken clouds
140,Savelugu,GH,9.6244,-0.8253,96.33,18,69,1.39,broken clouds
141,Natal,BR,-5.795,-35.2094,88.45,66,75,17.27,broken clouds
142,Kapaa,US,22.0752,-159.319,70.12,85,0,12.66,clear sky
143,Tucurui,BR,-3.7661,-49.6725,73.63,97,100,2.46,overcast clouds
144,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,8.05,scattered clouds
145,Chuy,UY,-33.6971,-53.4616,73.4,38,2,12.73,clear sky
146,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,53,8.75,broken clouds
147,Gorele,TR,41.0308,39.0031,45.84,89,100,2.51,overcast clouds
148,Kysyl-Syr,RU,63.8986,122.7617,-25.37,100,98,0.83,overcast clouds
149,Grindavik,IS,63.8424,-22.4338,30.67,86,75,10.36,light snow
150,Eyl,SO,7.9803,49.8164,75.67,74,50,20.04,scattered clouds
151,Provideniya,RU,64.3833,-173.3,-13.11,94,16,3.51,few clouds
152,Itoman,JP,26.1247,127.6694,66.22,94,100,8.05,light rain
153,Dingle,PH,10.9995,122.6711,74.86,92,90,6.64,overcast clouds
154,Khalkhal,IR,37.6189,48.5258,21.38,92,56,8.55,light snow
155,Singaparna,ID,-7.3515,108.111,72.43,94,100,2.08,overcast clouds
156,Coxim,BR,-18.5067,-54.76,90.32,49,94,4.23,overcast clouds
157,North Bend,US,43.4065,-124.2243,41.86,81,9,3.02,clear sky
158,Tasiilaq,GL,65.6145,-37.6368,12.36,72,100,5.14,overcast clouds
159,Alice Town,BS,25.7167,-79.3,74.59,83,100,15.3,heavy intensity rain
160,Iquique,CL,-20.2208,-70.1431,73.44,67,89,9.15,overcast clouds
161,Cockburn Town,TC,21.4612,-71.1419,77.43,80,1,19.69,clear sky
162,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,98,5.01,overcast clouds
163,Nikolskoye,RU,59.7035,30.7861,33.87,90,100,12.91,light snow
164,Miraflores,MX,19.2167,-98.8083,61.86,60,94,2.93,overcast clouds
165,Geraldton,AU,-28.7667,114.6,75.61,78,40,10.36,scattered clouds
166,Hambantota,LK,6.1241,81.1185,74.88,88,100,17.69,overcast clouds
167,Santiago Del Estero,AR,-27.7951,-64.2615,83.46,21,1,7.4,clear sky
168,Perth,AU,-31.9333,115.8333,81.09,60,0,12.66,clear sky
169,San Francisco,US,37.7749,-122.4194,62.67,77,20,7.0,mist
170,Biskamzha,RU,53.4497,89.5272,4.6,97,59,1.23,broken clouds
171,Kavieng,PG,-2.5744,150.7967,80.49,79,97,6.24,light rain
172,Havelock,US,34.8791,-76.9013,51.78,90,100,13.8,light rain
173,Shakiso,ET,5.75,38.9167,66.7,25,69,0.89,broken clouds
174,Fuyang,CN,32.9,115.8167,42.94,77,100,4.34,overcast clouds
175,Broken Hill,AU,-31.95,141.4333,82.11,28,75,11.5,broken clouds
176,Gwadar,PK,25.1216,62.3254,71.62,65,9,8.63,clear sky
177,Kuryk,KZ,43.2,51.65,36.52,58,98,16.82,overcast clouds
178,Bluff,NZ,-46.6,168.3333,43.81,88,16,4.85,few clouds
179,Mehamn,NO,71.0357,27.8492,21.38,87,97,11.25,overcast clouds
180,Ankang,CN,32.68,109.0172,48.78,57,100,1.63,overcast clouds
181,Nome,US,64.5011,-165.4064,-14.73,70,0,0.0,clear sky
182,Vasterhaninge,SE,59.1167,18.1,39.04,84,100,19.24,overcast clouds
183,Pacific Grove,US,36.6177,-121.9166,66.31,65,0,0.0,clear sky
184,Westport,US,41.1415,-73.3579,33.46,89,100,6.91,light snow
185,Ongandjera,NA,-17.8833,15.0667,74.03,67,100,6.4,overcast clouds
186,Shirokiy,RU,49.758,129.523,1.31,98,100,3.49,overcast clouds
187,Orange,US,33.7,-117.7675,77.38,35,0,0.0,clear sky
188,Samarai,PG,-10.6167,150.6667,79.88,76,23,5.91,few clouds
189,Nizwa,OM,22.9333,57.5333,67.86,54,11,5.5,few clouds
190,Turukhansk,RU,65.8167,87.9833,-6.34,86,3,11.07,clear sky
191,Airai,TL,-8.9266,125.4092,59.07,91,96,2.28,overcast clouds
192,Phuket,TH,8.0,98.25,87.1,83,75,3.44,broken clouds
193,Zhanaozen,KZ,43.3,52.8,32.74,61,82,19.93,broken clouds
194,Unecha,RU,52.8459,32.6739,22.03,88,38,9.44,scattered clouds
195,Santona,ES,43.4439,-3.4576,64.71,63,100,9.1,light rain
196,Joshimath,IN,30.5667,79.5667,37.92,48,2,9.04,clear sky
197,Kiama,AU,-34.6833,150.8667,66.58,79,92,1.01,overcast clouds
198,Moron,AR,-34.6534,-58.6198,77.95,38,0,8.14,clear sky
199,Saldanha,ZA,-33.0117,17.9442,78.85,85,19,27.67,few clouds
200,Tarabuco,BO,-19.1667,-64.9167,49.98,75,99,5.39,overcast clouds
201,Pisco,PE,-13.7,-76.2167,75.25,60,0,6.91,clear sky
202,Tacuarembo,UY,-31.7333,-55.9833,78.85,20,0,12.86,clear sky
