City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Naliya,IN,66.63,clear sky,23.2667,68.8333,jadeja jayendrasinh
179,Ponta Do Sol,PT,66.13,broken clouds,32.6667,-17.1,Hotel do Campo
180,Moa,CU,83.93,clear sky,20.6569,-74.9403,Carmen
182,Port Lincoln,AU,65.68,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
183,Shingu,JP,45.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
184,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
187,Pyapon,MM,67.1,few clouds,16.2833,95.6833,Aung Naing Thu Motel
190,Rawson,AR,88.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
193,Kapoeta,SS,90.59,broken clouds,4.7717,33.5903,Eastgate Hotel
194,Mayo,US,35.98,snow,38.8876,-76.5119,Resorts Resource Group International
196,Kaitangata,NZ,49.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
197,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
198,Lebowakgomo,ZA,72.5,overcast clouds,-24.2,29.5,Chuene Resort
199,Bredasdorp,ZA,70.29,light rain,-34.5322,20.0403,Bredasdorp Country Manor
201,Dunedin,NZ,52.81,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
202,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
203,San Patricio,US,59.72,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
204,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
206,Richards Bay,ZA,76.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
207,Winslow,US,58.3,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
211,Mogadishu,SO,77.72,overcast clouds,2.0371,45.3438,Hotel Juba
212,Veraval,IN,69.85,clear sky,20.9,70.3667,Lords Inn Somnath
214,Malakal,SS,87.08,scattered clouds,9.5334,31.6605,Nile Palace Hotel
216,Quelimane,MZ,76.39,overcast clouds,-17.8786,36.8883,Hotel Flamingo
218,Matadi,CD,78.08,light rain,-5.8167,13.45,Hotel Vivi Palace
219,Puerto Guzman,CO,88.36,overcast clouds,0.9703,-76.5858,Hotel Campo Verde
220,Mikuni,JP,37.31,overcast clouds,36.2171,136.1519,Haiya
222,La Asuncion,VE,71.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
223,Casablanca,MA,64.62,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
225,Kalmunai,LK,76.1,overcast clouds,7.4167,81.8167,VS Villa
226,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
231,Borba,BR,81.16,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
233,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
235,Aracataca,CO,87.62,scattered clouds,10.5918,-74.1898,Hostal de los buendia
236,Bonthe,SL,82.08,broken clouds,7.5264,-12.505,Bonthe Holiday Village
240,Camacha,PT,59.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
242,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
243,Jega,NG,85.91,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
244,Nargana,PA,81.97,broken clouds,9.4428,-78.5906,Dubbir
245,Morro Bay,US,79.21,clear sky,35.3658,-120.8499,Inn at Morro Bay
246,Iwaki,JP,35.76,snow,37.05,140.8833,Toyoko Inn Iwaki Ekimae
247,Trinitapoli,IT,51.91,scattered clouds,41.3572,16.0874,Garden Of Olives
249,Karlstad,SE,39.76,overcast clouds,59.3793,13.5036,Scandic Karlstad City
251,Jeremie,HT,82.27,clear sky,18.65,-74.1167,Auberge’Inn
253,Santarem,BR,84.33,few clouds,-2.4431,-54.7083,Ecotur Lodge
254,Sri Aman,MY,77.05,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
255,Neyshabur,IR,43.29,clear sky,36.2133,58.7958,Amiran Hotel
